method,eta,tau,budget,start_id,x0,y0,execution_status,raw_x,raw_y,grad_norm,lambda1,lambda2,n_outer_updates,terminal_category,endpoint,stop_reason,failure_reason,certification_reason,source
SI-pHiSD,0.001,0.002,2000000,480,-0.7953125000000001,1.4906249999999999,completed,-4.846983913392304,-1.2277978516289902,22578429311.05243,2125356140.5873082,200263458640.88654,10425,state_safeguard,U,state_safeguard,source_norm2_gt_5,raw_state_verified,run.py:numpy-batch
SI-pHiSD,0.001,0.002,2000000,26,-0.5515625000000001,1.2093749999999999,completed,0.06601892824820399,0.18404094149871217,9.99714127517263e-07,-1005.1363674528634,762.7328987993158,10432,success_index1,S_L,gradient_tolerance,,raw_state_verified,run.py:numpy-batch
SI-pHiSD,0.001,0.002,2000000,60,-0.5328125000000001,1.228125,completed,0.06601892825818959,0.1840409415039447,9.986025045070863e-07,-1005.1363674730808,762.7328988077546,10443,success_index1,S_L,gradient_tolerance,,raw_state_verified,run.py:numpy-batch
SI-pHiSD,0.001,0.002,2000000,416,-0.7953125000000001,1.453125,completed,1.1587548470199505,4.8640537370933945,17322475766.557346,1646882844.0452895,152499516454.15298,10454,state_safeguard,U,state_safeguard,source_norm2_gt_5,raw_state_verified,run.py:numpy-batch
SI-pHiSD,0.001,0.002,2000000,448,-0.7953125000000001,1.4718749999999998,completed,1.155027846930863,4.864769254570487,17055032617.98544,1622386245.2035942,150079359558.73035,10456,state_safeguard,U,state_safeguard,source_norm2_gt_5,raw_state_verified,run.py:numpy-batch
SI-pHiSD,0.001,0.002,2000000,27,-0.5421875,1.2093749999999999,completed,0.06601892838611235,0.18404094157983186,9.98824839197582e-07,-1005.136367768104,762.732898908096,10462,success_index1,S_L,gradient_tolerance,,raw_state_verified,run.py:numpy-batch
SI-pHiSD,0.001,0.002,2000000,61,-0.5234375,1.228125,completed,0.0660189283956995,0.18404094158468576,9.986395901951523e-07,-1005.1363677868236,762.7328989163468,10468,success_index1,S_L,gradient_tolerance,,raw_state_verified,run.py:numpy-batch
SI-pHiSD,0.001,0.002,2000000,449,-0.7859375000000001,1.4718749999999998,completed,1.1560237836060756,4.8645358106248535,17121090898.090248,1628431325.8011012,150677244534.4642,10476,state_safeguard,U,state_safeguard,source_norm2_gt_5,raw_state_verified,run.py:numpy-batch
SI-pHiSD,0.001,0.002,2000000,95,-0.5046875000000001,1.246875,completed,0.06601892841029192,0.18404094159317116,9.994566050723044e-07,-1005.1363678197811,762.7328989279428,10476,success_index1,S_L,gradient_tolerance,,raw_state_verified,run.py:numpy-batch
SI-pHiSD,0.001,0.002,2000000,481,-0.7859375000000001,1.4906249999999999,completed,-4.847020448633174,-1.2279473663699314,22602975388.297634,2127597090.275659,200486788574.06308,10484,state_safeguard,U,state_safeguard,source_norm2_gt_5,raw_state_verified,run.py:numpy-batch
SI-pHiSD,0.001,0.002,2000000,28,-0.5328125000000001,1.2093749999999999,completed,0.06601892848805059,0.1840409416300532,9.991830114277866e-07,-1005.1363679614929,762.7328989970426,10485,success_index1,S_L,gradient_tolerance,,raw_state_verified,run.py:numpy-batch
