method,eta,tau,budget,start_id,x0,y0,execution_status,raw_x,raw_y,grad_norm,lambda1,lambda2,n_outer_updates,terminal_category,endpoint,stop_reason,failure_reason,certification_reason,source
SI-pHiSD,0.0005011872336272725,0.002,2000000,448,-0.7953125000000001,1.4718749999999998,completed,1.206291266353084,4.852350276727715,20784028944.702534,1962459215.014755,183920279305.5678,20733,state_safeguard,U,state_safeguard,source_norm2_gt_5,raw_state_verified,run.py:numpy-batch
SI-pHiSD,0.0005011872336272725,0.002,2000000,416,-0.7953125000000001,1.453125,completed,1.2088235788602646,4.851720732806134,20987415013.844135,1980944872.2869897,185770915925.3505,20764,state_safeguard,U,state_safeguard,source_norm2_gt_5,raw_state_verified,run.py:numpy-batch
SI-pHiSD,0.0005011872336272725,0.002,2000000,449,-0.7859375000000001,1.4718749999999998,completed,1.2068971187527155,4.8521602775676325,20826844532.90109,1966343337.583152,184310061189.56384,20786,state_safeguard,U,state_safeguard,source_norm2_gt_5,raw_state_verified,run.py:numpy-batch
SI-pHiSD,0.0005011872336272725,0.002,2000000,480,-0.7953125000000001,1.4906249999999999,completed,-4.831357637780653,-1.2876837555080556,28381815055.133957,2649410164.03874,253340574042.48755,20815,state_safeguard,U,state_safeguard,source_norm2_gt_5,raw_state_verified,run.py:numpy-batch
SI-pHiSD,0.0005011872336272725,0.002,2000000,26,-0.5515625000000001,1.2093749999999999,completed,0.06601892846859181,0.18404094162125123,9.99209517875518e-07,-1005.13636792777,762.7328989793754,20829,success_index1,S_L,gradient_tolerance,,raw_state_verified,run.py:numpy-batch
SI-pHiSD,0.0005011872336272725,0.002,2000000,481,-0.7859375000000001,1.4906249999999999,completed,1.2035962610945428,4.853064219129474,20576139302.67486,1943566984.690615,182028884943.69293,20836,state_safeguard,U,state_safeguard,source_norm2_gt_5,raw_state_verified,run.py:numpy-batch
SI-pHiSD,0.0005011872336272725,0.002,2000000,417,-0.7859375000000001,1.453125,completed,1.2089216391065354,4.851670378651863,20991577838.202213,1981317972.377225,185808955261.00992,20849,state_safeguard,U,state_safeguard,source_norm2_gt_5,raw_state_verified,run.py:numpy-batch
SI-pHiSD,0.0005011872336272725,0.002,2000000,482,-0.7765625,1.4906249999999999,completed,1.2046566408380577,4.852789967511435,20658612527.450504,1951063923.2352622,182779132520.29855,20849,state_safeguard,U,state_safeguard,source_norm2_gt_5,raw_state_verified,run.py:numpy-batch
SI-pHiSD,0.0005011872336272725,0.002,2000000,60,-0.5328125000000001,1.228125,completed,0.06601892847791294,0.1840409416255617,9.992459883695584e-07,-1005.1363679443076,762.7328989877554,20850,success_index1,S_L,gradient_tolerance,,raw_state_verified,run.py:numpy-batch
SI-pHiSD,0.0005011872336272725,0.002,2000000,450,-0.7765625,1.4718749999999998,completed,1.2074008350043781,4.8520749251098945,20872952915.627598,1970542269.561427,184729350211.22754,20855,state_safeguard,U,state_safeguard,source_norm2_gt_5,raw_state_verified,run.py:numpy-batch
SI-pHiSD,0.0005011872336272725,0.002,2000000,384,-0.7953125000000001,1.434375,completed,1.2098470103621846,4.851484174080552,21072816138.420513,1988708828.7124565,186548021888.69006,20880,state_safeguard,U,state_safeguard,source_norm2_gt_5,raw_state_verified,run.py:numpy-batch
SI-pHiSD,0.0005011872336272725,0.002,2000000,27,-0.5421875,1.2093749999999999,completed,0.06601892858708999,0.18404094167050192,9.99424259564644e-07,-1005.1363681154328,762.7328990907755,20884,success_index1,S_L,gradient_tolerance,,raw_state_verified,run.py:numpy-batch
SI-pHiSD,0.0005011872336272725,0.002,2000000,483,-0.7671875,1.4906249999999999,completed,1.2052531229510381,4.852570989289557,20695937446.31218,1954443438.866608,183119090286.91846,20897,state_safeguard,U,state_safeguard,source_norm2_gt_5,raw_state_verified,run.py:numpy-batch
