method,eta,tau,budget,start_id,x0,y0,execution_status,raw_x,raw_y,grad_norm,lambda1,lambda2,n_outer_updates,terminal_category,endpoint,stop_reason,failure_reason,certification_reason,source
SI-pHiSD,6.309573444801929e-05,0.002,2000000,448,-0.7953125000000001,1.4718749999999998,completed,1.2206004556186019,4.848729432535726,21952336760.09501,2068556828.7616928,194557469691.6715,161104,state_safeguard,U,state_safeguard,source_norm2_gt_5,raw_state_verified,run.py:numpy-batch
SI-pHiSD,6.309573444801929e-05,0.002,2000000,416,-0.7953125000000001,1.453125,completed,1.2205996262646601,4.848727355033505,21951921036.405704,2068518632.861854,194553696322.8077,161492,state_safeguard,U,state_safeguard,source_norm2_gt_5,raw_state_verified,run.py:numpy-batch
SI-pHiSD,6.309573444801929e-05,0.002,2000000,449,-0.7859375000000001,1.4718749999999998,completed,1.2205979523923625,4.848725766386175,21951475930.2076,2068477828.0623162,194549653523.08548,161550,state_safeguard,U,state_safeguard,source_norm2_gt_5,raw_state_verified,run.py:numpy-batch
SI-pHiSD,6.309573444801929e-05,0.002,2000000,450,-0.7765625,1.4718749999999998,completed,1.2206083528430232,4.848734446035603,21954061498.462044,2068714779.6909058,194573140048.0548,162109,state_safeguard,U,state_safeguard,source_norm2_gt_5,raw_state_verified,run.py:numpy-batch
SI-pHiSD,6.309573444801929e-05,0.002,2000000,417,-0.7859375000000001,1.453125,completed,1.2206071211278156,4.848734279435967,21953885569.9712,2068698717.446088,194571540137.94028,162183,state_safeguard,U,state_safeguard,source_norm2_gt_5,raw_state_verified,run.py:numpy-batch
SI-pHiSD,6.309573444801929e-05,0.002,2000000,481,-0.7859375000000001,1.4906249999999999,completed,1.2205756215218426,4.848740661147748,21950996523.8753,2068436248.6774378,194545227650.96326,162218,state_safeguard,U,state_safeguard,source_norm2_gt_5,raw_state_verified,run.py:numpy-batch
SI-pHiSD,6.309573444801929e-05,0.002,2000000,482,-0.7765625,1.4906249999999999,completed,1.2205847556965053,4.84873607489139,21951420446.192944,2068474241.0448754,194549104314.057,162332,state_safeguard,U,state_safeguard,source_norm2_gt_5,raw_state_verified,run.py:numpy-batch
SI-pHiSD,6.309573444801929e-05,0.002,2000000,480,-0.7953125000000001,1.4906249999999999,completed,1.2205545705027452,4.848741091719888,21948486129.54823,2068207449.4171674,194522385906.58655,162353,state_safeguard,U,state_safeguard,source_norm2_gt_5,raw_state_verified,run.py:numpy-batch
SI-pHiSD,6.309573444801929e-05,0.002,2000000,483,-0.7671875,1.4906249999999999,completed,1.2205920798737337,4.848731502635929,21951625028.520485,2068492239.2543552,194550985330.96716,162569,state_safeguard,U,state_safeguard,source_norm2_gt_5,raw_state_verified,run.py:numpy-batch
SI-pHiSD,6.309573444801929e-05,0.002,2000000,384,-0.7953125000000001,1.434375,completed,1.2205982197547671,4.8487276216273925,21951789261.791542,2068506657.6878252,194552496268.83585,162570,state_safeguard,U,state_safeguard,source_norm2_gt_5,raw_state_verified,run.py:numpy-batch
SI-pHiSD,6.309573444801929e-05,0.002,2000000,451,-0.7671875,1.4718749999999998,completed,1.2205997218769504,4.84872654632455,21951810411.44125,2068508432.3307717,194552693323.8164,162789,state_safeguard,U,state_safeguard,source_norm2_gt_5,raw_state_verified,run.py:numpy-batch
SI-pHiSD,6.309573444801929e-05,0.002,2000000,484,-0.7578125,1.4906249999999999,completed,1.2205940786669383,4.848726744301965,21951149871.279804,2068448242.4703188,194546682778.39722,162998,state_safeguard,U,state_safeguard,source_norm2_gt_5,raw_state_verified,run.py:numpy-batch
SI-pHiSD,6.309573444801929e-05,0.002,2000000,418,-0.7765625,1.453125,completed,1.220597689282822,4.848726017023134,21951481647.206947,2068478385.0217693,194549704457.50214,163001,state_safeguard,U,state_safeguard,source_norm2_gt_5,raw_state_verified,run.py:numpy-batch
SI-pHiSD,6.309573444801929e-05,0.002,2000000,385,-0.7859375000000001,1.434375,completed,1.2205995020927132,4.848728675815297,21952105623.41891,2068535649.2166834,194555370034.0669,163511,state_safeguard,U,state_safeguard,source_norm2_gt_5,raw_state_verified,run.py:numpy-batch
SI-pHiSD,6.309573444801929e-05,0.002,2000000,485,-0.7484375000000001,1.4906249999999999,completed,1.2205973981244078,4.848726226892602,21951477765.92329,2068478061.1361182,194549668240.93018,163611,state_safeguard,U,state_safeguard,source_norm2_gt_5,raw_state_verified,run.py:numpy-batch
SI-pHiSD,6.309573444801929e-05,0.002,2000000,452,-0.7578125,1.4718749999999998,completed,1.2206021384433896,4.848728848822672,21952454380.42368,2068567468.2946403,194558542334.5904,163618,state_safeguard,U,state_safeguard,source_norm2_gt_5,raw_state_verified,run.py:numpy-batch
SI-pHiSD,6.309573444801929e-05,0.002,2000000,419,-0.7671875,1.453125,completed,1.2206003063574853,4.848728532131767,21952182300.1677,2068542618.93737,194556068270.00446,163985,state_safeguard,U,state_safeguard,source_norm2_gt_5,raw_state_verified,run.py:numpy-batch
SI-pHiSD,6.309573444801929e-05,0.002,2000000,352,-0.7953125000000001,1.415625,completed,1.2206059120265604,4.848734441669578,21953762153.322605,2068687489.3587415,194570416573.15094,164281,state_safeguard,U,state_safeguard,source_norm2_gt_5,raw_state_verified,run.py:numpy-batch
SI-pHiSD,6.309573444801929e-05,0.002,2000000,486,-0.7390625000000001,1.4906249999999999,completed,1.2206040867362984,4.848730718757836,21952975635.773037,2068615255.3249483,194563276743.88412,164424,state_safeguard,U,state_safeguard,source_norm2_gt_5,raw_state_verified,run.py:numpy-batch
SI-pHiSD,6.309573444801929e-05,0.002,2000000,453,-0.7484375000000001,1.4718749999999998,completed,1.220603926492086,4.848730791496275,21952967030.286133,2068614481.1889553,194563198136.39526,164638,state_safeguard,U,state_safeguard,source_norm2_gt_5,raw_state_verified,run.py:numpy-batch
SI-pHiSD,6.309573444801929e-05,0.002,2000000,386,-0.7765625,1.434375,completed,1.220605455928399,4.848733889881408,21953622871.117027,2068674712.9797053,194569151737.15552,164653,state_safeguard,U,state_safeguard,source_norm2_gt_5,raw_state_verified,run.py:numpy-batch
SI-pHiSD,6.309573444801929e-05,0.002,2000000,420,-0.7578125,1.453125,completed,1.220605960633339,4.8487337496752,21953663422.36698,2068678389.8120935,194569521283.35217,165192,state_safeguard,U,state_safeguard,source_norm2_gt_5,raw_state_verified,run.py:numpy-batch
SI-pHiSD,6.309573444801929e-05,0.002,2000000,487,-0.7296875,1.4906249999999999,completed,1.2206041468849693,4.848730533384078,21952954955.121227,2068613343.5205123,194563089386.54077,165480,state_safeguard,U,state_safeguard,source_norm2_gt_5,raw_state_verified,run.py:numpy-batch
SI-pHiSD,6.309573444801929e-05,0.002,2000000,353,-0.7859375000000001,1.415625,completed,1.22060619838244,4.848734515581119,21953808375.450554,2068691713.7350276,194570836791.5545,165618,state_safeguard,U,state_safeguard,source_norm2_gt_5,raw_state_verified,run.py:numpy-batch
