method,eta,tau,budget,start_id,x0,y0,execution_status,raw_x,raw_y,grad_norm,lambda1,lambda2,n_outer_updates,terminal_category,endpoint,stop_reason,failure_reason,certification_reason,source
HiSD,0.025118864315095822,0.002,2000000,0,-0.7953125000000001,1.2093749999999999,completed,-9.219732680505066,6.142357833788031,4.801863010332623e+19,9.346334743980452e+18,4.248920504764223e+20,1,state_safeguard,U,state_safeguard,source_norm2_gt_5,raw_state_verified,run.py:numpy-batch
HiSD,0.025118864315095822,0.002,2000000,1,-0.7859375000000001,1.2093749999999999,completed,-9.751177134223285,6.575889997570929,1.4501567125325554e+22,2.684324729419303e+21,1.3606238634271446e+23,1,state_safeguard,U,state_safeguard,source_norm2_gt_5,raw_state_verified,run.py:numpy-batch
HiSD,0.025118864315095822,0.002,2000000,2,-0.7765625,1.2093749999999999,completed,-10.29448651130691,7.00021047243053,6.978094853759971e+24,1.2268515755773383e+24,6.933220654707611e+25,1,state_safeguard,U,state_safeguard,source_norm2_gt_5,raw_state_verified,run.py:numpy-batch
HiSD,0.025118864315095822,0.002,2000000,3,-0.7671875,1.2093749999999999,completed,-10.848875075967289,7.412693108151548,5.32173039082973e+27,8.87960791232928e+26,5.590950915399224e+28,1,state_safeguard,U,state_safeguard,source_norm2_gt_5,raw_state_verified,run.py:numpy-batch
HiSD,0.025118864315095822,0.002,2000000,4,-0.7578125,1.2093749999999999,completed,-11.413651646174221,7.810475181614884,6.382309303133717e+30,1.0101299046678891e+30,7.0791610654432655e+31,1,state_safeguard,U,state_safeguard,source_norm2_gt_5,raw_state_verified,run.py:numpy-batch
HiSD,0.025118864315095822,0.002,2000000,5,-0.7484375000000001,1.2093749999999999,completed,-11.988242937369918,8.190415263592104,1.1921564127083736e+34,1.7890280551359136e+33,1.3939651887745858e+35,1,state_safeguard,U,state_safeguard,source_norm2_gt_5,raw_state_verified,run.py:numpy-batch
HiSD,0.025118864315095822,0.002,2000000,6,-0.7390625000000001,1.2093749999999999,completed,-12.572219764790903,8.549037897772365,3.4318999596610745e+37,4.881164294341379e+36,4.2241955723004835e+38,1,state_safeguard,U,state_safeguard,source_norm2_gt_5,raw_state_verified,run.py:numpy-batch
HiSD,0.025118864315095822,0.002,2000000,7,-0.7296875,1.2093749999999999,completed,-13.165326197924786,8.88246078778147,1.5070556441702854e+41,2.0304126442186752e+40,1.9501139620784028e+42,1,state_safeguard,U,state_safeguard,source_norm2_gt_5,raw_state_verified,run.py:numpy-batch
HiSD,0.025118864315095822,0.002,2000000,8,-0.7203125,1.2093749999999999,completed,-13.767511563250128,9.186298643414016,1.0012164566846547e+45,1.2767343815761745e+44,1.3604618184751968e+46,1,state_safeguard,U,state_safeguard,source_norm2_gt_5,raw_state_verified,run.py:numpy-batch
HiSD,0.025118864315095822,0.002,2000000,9,-0.7109375,1.2093749999999999,completed,-14.378964780361331,9.455535659224182,1.002291370991052e+49,1.2082976502183234e+48,1.428840593373274e+50,1,state_safeguard,U,state_safeguard,source_norm2_gt_5,raw_state_verified,run.py:numpy-batch
HiSD,0.025118864315095822,0.002,2000000,10,-0.7015625000000001,1.2093749999999999,completed,-15.00014971456016,9.684355507264561,1.5169855498849252e+53,1.7260055771859657e+52,2.2673954791234978e+54,1,state_safeguard,U,state_safeguard,source_norm2_gt_5,raw_state_verified,run.py:numpy-batch
HiSD,0.025118864315095822,0.002,2000000,11,-0.6921875000000001,1.2093749999999999,completed,-15.631838715036805,9.86591331696843,3.5233585525632244e+57,3.7748086625345303e+56,5.519898824518373e+58,1,state_safeguard,U,state_safeguard,source_norm2_gt_5,raw_state_verified,run.py:numpy-batch
HiSD,0.025118864315095822,0.002,2000000,12,-0.6828125,1.2093749999999999,completed,-16.275138699565783,9.992027810975237,1.2968851498684035e+62,1.3042726258217378e+61,2.1298840932736658e+63,1,state_safeguard,U,state_safeguard,source_norm2_gt_5,raw_state_verified,run.py:numpy-batch
HiSD,0.025118864315095822,0.002,2000000,13,-0.6734375,1.2093749999999999,completed,-16.931498975998103,10.052762772276237,8.012850621705989e+66,7.533760584305538e+65,1.3803533176926914e+68,1,state_safeguard,U,state_safeguard,source_norm2_gt_5,raw_state_verified,run.py:numpy-batch
HiSD,0.025118864315095822,0.002,2000000,14,-0.6640625,1.2093749999999999,completed,-17.602680489883742,10.035854316814582,9.129669372250761e+71,7.982865270790952e+70,1.651721923751262e+73,1,state_safeguard,U,state_safeguard,source_norm2_gt_5,raw_state_verified,run.py:numpy-batch
HiSD,0.025118864315095822,0.002,2000000,15,-0.6546875000000001,1.2093749999999999,completed,-18.29064870501526,9.925922960292091,2.220921548892856e+77,1.7940619567779857e+76,4.228016595911228e+78,1,state_safeguard,U,state_safeguard,source_norm2_gt_5,raw_state_verified,run.py:numpy-batch
HiSD,0.025118864315095822,0.002,2000000,16,-0.6453125000000001,1.2093749999999999,completed,-18.99732008341288,9.70338673211595,1.4397652311297593e+83,1.065685050070227e+82,2.8922141788956444e+84,1,state_safeguard,U,state_safeguard,source_norm2_gt_5,raw_state_verified,run.py:numpy-batch
HiSD,0.025118864315095822,0.002,2000000,17,-0.6359375,1.2093749999999999,completed,-19.7240326435651,9.342965862470678,3.456737693051878e+89,2.32118015761811e+88,7.355038232553924e+90,1,state_safeguard,U,state_safeguard,source_norm2_gt_5,raw_state_verified,run.py:numpy-batch
HiSD,0.025118864315095822,0.002,2000000,18,-0.6265625,1.2093749999999999,completed,-20.47050187826639,8.811651781444189,4.9763614493764655e+96,2.996038489621521e+95,1.127036962273319e+98,1,state_safeguard,U,state_safeguard,source_norm2_gt_5,raw_state_verified,run.py:numpy-batch
HiSD,0.025118864315095822,0.002,2000000,19,-0.6171875,1.2093749999999999,completed,-21.232826444872043,8.066038647224689,8.610102523115324e+104,4.5857529719143004e+103,2.0882448066416385e+106,1,state_safeguard,U,state_safeguard,source_norm2_gt_5,raw_state_verified,run.py:numpy-batch
HiSD,0.025118864315095822,0.002,2000000,20,-0.6078125000000001,1.2093749999999999,completed,-21.999769045719837,7.049083224660422,4.7819161558933787e+114,2.220585468811912e+113,1.250953924477559e+116,1,state_safeguard,U,state_safeguard,source_norm2_gt_5,raw_state_verified,run.py:numpy-batch
