method,eta,tau,budget,start_id,x0,y0,execution_status,raw_x,raw_y,grad_norm,lambda1,lambda2,n_outer_updates,terminal_category,endpoint,stop_reason,failure_reason,certification_reason,source
SI-pHiSD,0.0007943282347242822,0.002,2000000,480,-0.7953125000000001,1.4906249999999999,completed,-4.840786228948172,-1.252290914382527,24813235893.25419,2327650378.103303,220664650356.02023,13125,state_safeguard,U,state_safeguard,source_norm2_gt_5,raw_state_verified,run.py:numpy-batch
SI-pHiSD,0.0007943282347242822,0.002,2000000,26,-0.5515625000000001,1.2093749999999999,completed,0.0660189283403802,0.18404094155483425,9.990756923556903e-07,-1005.1363676713075,762.732898870355,13134,success_index1,S_L,gradient_tolerance,,raw_state_verified,run.py:numpy-batch
SI-pHiSD,0.0007943282347242822,0.002,2000000,448,-0.7953125000000001,1.4718749999999998,completed,1.1738986541324639,4.8603769885984205,18358763584.969715,1741562096.614951,161889960650.3817,13138,state_safeguard,U,state_safeguard,source_norm2_gt_5,raw_state_verified,run.py:numpy-batch
SI-pHiSD,0.0007943282347242822,0.002,2000000,60,-0.5328125000000001,1.228125,completed,0.06601892834657572,0.18404094155794543,9.987086148272196e-07,-1005.1363676833008,762.7328988757091,13146,success_index1,S_L,gradient_tolerance,,raw_state_verified,run.py:numpy-batch
SI-pHiSD,0.0007943282347242822,0.002,2000000,416,-0.7953125000000001,1.453125,completed,1.1777123514310082,4.859376975606413,18620668343.35103,1765449566.2102802,164265859778.68756,13154,state_safeguard,U,state_safeguard,source_norm2_gt_5,raw_state_verified,run.py:numpy-batch
SI-pHiSD,0.0007943282347242822,0.002,2000000,449,-0.7859375000000001,1.4718749999999998,completed,1.1746935333463704,4.8601380535702505,18409156072.3268,1746153339.0066686,162347204971.95157,13170,state_safeguard,U,state_safeguard,source_norm2_gt_5,raw_state_verified,run.py:numpy-batch
SI-pHiSD,0.0007943282347242822,0.002,2000000,27,-0.5421875,1.2093749999999999,completed,0.06601892848002573,0.18404094162593027,9.987199035690987e-07,-1005.1363679455798,762.7328989901888,13174,success_index1,S_L,gradient_tolerance,,raw_state_verified,run.py:numpy-batch
SI-pHiSD,0.0007943282347242822,0.002,2000000,61,-0.5234375,1.228125,completed,0.06601892848630311,0.18404094162875592,9.987210031113227e-07,-1005.1363679564029,762.7328989959,13181,success_index1,S_L,gradient_tolerance,,raw_state_verified,run.py:numpy-batch
SI-pHiSD,0.0007943282347242822,0.002,2000000,95,-0.5046875000000001,1.246875,completed,0.06601892849752729,0.18404094163458737,9.994930448998769e-07,-1005.1363679789243,762.7328990054291,13190,success_index1,S_L,gradient_tolerance,,raw_state_verified,run.py:numpy-batch
SI-pHiSD,0.0007943282347242822,0.002,2000000,28,-0.5328125000000001,1.2093749999999999,completed,0.0660189285729029,0.18404094166553897,9.997060529621844e-07,-1005.1363680967631,762.7328990766199,13204,success_index1,S_L,gradient_tolerance,,raw_state_verified,run.py:numpy-batch
