method,eta,tau,budget,start_id,x0,y0,execution_status,raw_x,raw_y,grad_norm,lambda1,lambda2,n_outer_updates,terminal_category,endpoint,stop_reason,failure_reason,certification_reason,source
SI-pHiSD,3.1622776601683795e-05,0.002,2000000,26,-0.5515625000000001,1.2093749999999999,completed,0.0660189286648653,0.18404094169722515,9.999841294091094e-07,-1005.1363682158118,762.732899168803,331393,success_index1,S_L,gradient_tolerance,,raw_state_verified,run.py:numpy-batch
SI-pHiSD,3.1622776601683795e-05,0.002,2000000,60,-0.5328125000000001,1.228125,completed,0.06601892868318349,0.18404094170270402,9.999970536266214e-07,-1005.1363682361371,762.7328991878956,331803,success_index1,S_L,gradient_tolerance,,raw_state_verified,run.py:numpy-batch
SI-pHiSD,3.1622776601683795e-05,0.002,2000000,27,-0.5421875,1.2093749999999999,completed,0.06601892873211526,0.18404094171600224,9.999702621370487e-07,-1005.1363682849897,762.7328992400675,331932,success_index1,S_L,gradient_tolerance,,raw_state_verified,run.py:numpy-batch
SI-pHiSD,3.1622776601683795e-05,0.002,2000000,28,-0.5328125000000001,1.2093749999999999,completed,0.06601892877677368,0.18404094172654528,9.999609283896941e-07,-1005.1363683230923,762.73289928908,332388,success_index1,S_L,gradient_tolerance,,raw_state_verified,run.py:numpy-batch
SI-pHiSD,3.1622776601683795e-05,0.002,2000000,61,-0.5234375,1.228125,completed,0.06601892876175809,0.1840409417231558,9.999493233603291e-07,-1005.1363683109132,762.7328992724644,332393,success_index1,S_L,gradient_tolerance,,raw_state_verified,run.py:numpy-batch
SI-pHiSD,3.1622776601683795e-05,0.002,2000000,29,-0.5234375,1.2093749999999999,completed,0.06601892880351684,0.18404094173214375,9.999750227674504e-07,-1005.1363683429995,762.7328993190583,332704,success_index1,S_L,gradient_tolerance,,raw_state_verified,run.py:numpy-batch
SI-pHiSD,3.1622776601683795e-05,0.002,2000000,95,-0.5046875000000001,1.246875,completed,0.06601892879090719,0.1840409417295725,9.999680374298628e-07,-1005.1363683338922,762.7328993048632,332858,success_index1,S_L,gradient_tolerance,,raw_state_verified,run.py:numpy-batch
SI-pHiSD,3.1622776601683795e-05,0.002,2000000,62,-0.5140625000000001,1.228125,completed,0.06601892881135825,0.18404094173364818,9.999498178109052e-07,-1005.1363683482791,762.7328993279682,332890,success_index1,S_L,gradient_tolerance,,raw_state_verified,run.py:numpy-batch
SI-pHiSD,3.1622776601683795e-05,0.002,2000000,30,-0.5140625000000001,1.2093749999999999,completed,0.0660189288222116,0.1840409417357426,9.999976630127329e-07,-1005.1363683556356,762.7328993402899,332950,success_index1,S_L,gradient_tolerance,,raw_state_verified,run.py:numpy-batch
SI-pHiSD,3.1622776601683795e-05,0.002,2000000,31,-0.5046875000000001,1.2093749999999999,completed,0.06601892883835461,0.1840409417385966,9.999850775770248e-07,-1005.136368365515,762.7328993588461,333161,success_index1,S_L,gradient_tolerance,,raw_state_verified,run.py:numpy-batch
SI-pHiSD,3.1622776601683795e-05,0.002,2000000,63,-0.5046875000000001,1.228125,completed,0.06601892883984979,0.1840409417388261,9.999615448019435e-07,-1005.1363683662885,762.7328993605953,333227,success_index1,S_L,gradient_tolerance,,raw_state_verified,run.py:numpy-batch
SI-pHiSD,3.1622776601683795e-05,0.002,2000000,18,-0.6265625,1.2093749999999999,completed,0.06601892897220378,0.1840409417544433,9.999700443240572e-07,-1005.1363684156239,762.732899519557,338940,success_index1,S_L,gradient_tolerance,,raw_state_verified,run.py:numpy-batch
SI-pHiSD,3.1622776601683795e-05,0.002,2000000,17,-0.6359375,1.2093749999999999,completed,0.06601892895847392,0.18404094175346974,9.999636556499616e-07,-1005.1363684131364,762.7328995025002,338991,success_index1,S_L,gradient_tolerance,,raw_state_verified,run.py:numpy-batch
SI-pHiSD,3.1622776601683795e-05,0.002,2000000,52,-0.6078125000000001,1.228125,completed,0.06601892898842393,0.18404094175537267,9.999581139983587e-07,-1005.1363684176642,762.7328995399012,339004,success_index1,S_L,gradient_tolerance,,raw_state_verified,run.py:numpy-batch
SI-pHiSD,3.1622776601683795e-05,0.002,2000000,19,-0.6171875,1.2093749999999999,completed,0.0660189289891094,0.1840409417553995,9.999507559544185e-07,-1005.1363684176999,762.7328995407719,339005,success_index1,S_L,gradient_tolerance,,raw_state_verified,run.py:numpy-batch
SI-pHiSD,3.1622776601683795e-05,0.002,2000000,53,-0.5984375000000001,1.228125,completed,0.06601892900388147,0.18404094175609936,9.99985323014109e-07,-1005.136368418962,762.7328995594282,339036,success_index1,S_L,gradient_tolerance,,raw_state_verified,run.py:numpy-batch
