method,eta,tau,budget,start_id,x0,y0,execution_status,raw_x,raw_y,grad_norm,lambda1,lambda2,n_outer_updates,terminal_category,endpoint,stop_reason,failure_reason,certification_reason,source
SI-pHiSD,0.0031622776601683794,0.002,2000000,489,-0.7109375,1.4906249999999999,completed,0.27695507125153185,4.992480159729137,533859215.06878096,59493581.538273335,4198980819.8604937,2705,state_safeguard,U,state_safeguard,source_norm2_gt_5,raw_state_verified,run.py:numpy-batch
SI-pHiSD,0.0031622776601683794,0.002,2000000,451,-0.7671875,1.4718749999999998,completed,0.7511118922267842,4.943375965673484,3516180214.069549,357012924.48410326,29501634984.349594,3000,state_safeguard,U,state_safeguard,source_norm2_gt_5,raw_state_verified,run.py:numpy-batch
SI-pHiSD,0.0031622776601683794,0.002,2000000,416,-0.7953125000000001,1.453125,completed,0.8381594921812732,4.929500089760107,4961573825.240266,496217565.0405168,42082876157.35061,3055,state_safeguard,U,state_safeguard,source_norm2_gt_5,raw_state_verified,run.py:numpy-batch
SI-pHiSD,0.0031622776601683794,0.002,2000000,452,-0.7578125,1.4718749999999998,completed,0.796709394524902,4.936729774560918,4224057834.3205123,425445963.2387522,35646825020.67255,3061,state_safeguard,U,state_safeguard,source_norm2_gt_5,raw_state_verified,run.py:numpy-batch
SI-pHiSD,0.0031622776601683794,0.002,2000000,417,-0.7859375000000001,1.453125,completed,0.8414677596982334,4.929229015573606,5036613000.625153,503415691.44852865,42738772930.533844,3072,state_safeguard,U,state_safeguard,source_norm2_gt_5,raw_state_verified,run.py:numpy-batch
SI-pHiSD,0.0031622776601683794,0.002,2000000,418,-0.7765625,1.453125,completed,0.8433100282108207,4.928817706025493,5069956637.348371,506598035.84420884,43030713925.92689,3090,state_safeguard,U,state_safeguard,source_norm2_gt_5,raw_state_verified,run.py:numpy-batch
SI-pHiSD,0.0031622776601683794,0.002,2000000,384,-0.7953125000000001,1.434375,completed,0.8573507597343798,4.926051053034998,5345498430.1335,532894358.1430813,45444538846.157936,3092,state_safeguard,U,state_safeguard,source_norm2_gt_5,raw_state_verified,run.py:numpy-batch
SI-pHiSD,0.0031622776601683794,0.002,2000000,453,-0.7484375000000001,1.4718749999999998,completed,0.8124494111180868,4.934148828874225,4494126680.255207,451421053.94310486,37999893065.10459,3097,state_safeguard,U,state_safeguard,source_norm2_gt_5,raw_state_verified,run.py:numpy-batch
SI-pHiSD,0.0031622776601683794,0.002,2000000,385,-0.7859375000000001,1.434375,completed,0.8572288269579115,4.926228298538967,5348598395.929843,533200912.47584414,45471415702.217896,3111,state_safeguard,U,state_safeguard,source_norm2_gt_5,raw_state_verified,run.py:numpy-batch
SI-pHiSD,0.0031622776601683794,0.002,2000000,419,-0.7671875,1.453125,completed,0.8470827254991906,4.9280696327793265,5142282775.657496,513505136.8417979,43663967472.0161,3113,state_safeguard,U,state_safeguard,source_norm2_gt_5,raw_state_verified,run.py:numpy-batch
SI-pHiSD,0.0031622776601683794,0.002,2000000,352,-0.7953125000000001,1.415625,completed,0.8613919779801917,4.925846227437714,5449633681.739583,542862417.3408538,46356547748.715225,3129,state_safeguard,U,state_safeguard,source_norm2_gt_5,raw_state_verified,run.py:numpy-batch
SI-pHiSD,0.0031622776601683794,0.002,2000000,454,-0.7390625000000001,1.4718749999999998,completed,0.8196944415996981,4.9324261532595965,4607921601.779534,462315632.9967608,38993478254.99263,3130,state_safeguard,U,state_safeguard,source_norm2_gt_5,raw_state_verified,run.py:numpy-batch
SI-pHiSD,0.0031622776601683794,0.002,2000000,386,-0.7765625,1.434375,completed,0.8557828737538482,4.926705066450053,5326403193.0853195,531098345.9213019,45276468884.79017,3133,state_safeguard,U,state_safeguard,source_norm2_gt_5,raw_state_verified,run.py:numpy-batch
SI-pHiSD,0.0031622776601683794,0.002,2000000,490,-0.7015625000000001,1.4906249999999999,completed,0.6985595733870763,4.9511407606927085,2857365561.0855584,292855419.337404,23814529404.39,3135,state_safeguard,U,state_safeguard,source_norm2_gt_5,raw_state_verified,run.py:numpy-batch
SI-pHiSD,0.0031622776601683794,0.002,2000000,420,-0.7578125,1.453125,completed,0.8482081679155307,4.928166900611649,5175318542.903175,516681373.8209196,43952684017.66814,3139,state_safeguard,U,state_safeguard,source_norm2_gt_5,raw_state_verified,run.py:numpy-batch
SI-pHiSD,0.0031622776601683794,0.002,2000000,353,-0.7859375000000001,1.415625,completed,0.8612259796288406,4.925749587868245,5441430289.704117,542071364.8246462,46284850697.84531,3156,state_safeguard,U,state_safeguard,source_norm2_gt_5,raw_state_verified,run.py:numpy-batch
SI-pHiSD,0.0031622776601683794,0.002,2000000,387,-0.7671875,1.434375,completed,0.8551777646557043,4.926525066022959,5303462287.897356,528889200.5121132,45075967789.20804,3161,state_safeguard,U,state_safeguard,source_norm2_gt_5,raw_state_verified,run.py:numpy-batch
SI-pHiSD,0.0031622776601683794,0.002,2000000,421,-0.7484375000000001,1.453125,completed,0.8468981045039191,4.9281618188986505,5140656190.662636,513353728.69048697,43649617199.117165,3169,state_safeguard,U,state_safeguard,source_norm2_gt_5,raw_state_verified,run.py:numpy-batch
SI-pHiSD,0.0031622776601683794,0.002,2000000,455,-0.7296875,1.4718749999999998,completed,0.8250897067961699,4.931942901995434,4720239047.064904,473115515.4080682,39973324441.13399,3170,state_safeguard,U,state_safeguard,source_norm2_gt_5,raw_state_verified,run.py:numpy-batch
SI-pHiSD,0.0031622776601683794,0.002,2000000,320,-0.7953125000000001,1.3968749999999999,completed,0.8651938367189304,4.925109308965893,5529082211.337556,550431233.4288872,47053544741.142395,3185,state_safeguard,U,state_safeguard,source_norm2_gt_5,raw_state_verified,run.py:numpy-batch
SI-pHiSD,0.0031622776601683794,0.002,2000000,354,-0.7765625,1.415625,completed,0.8621105449756822,4.9251215764628995,5442871882.808988,542175754.0625206,46298396297.37605,3191,state_safeguard,U,state_safeguard,source_norm2_gt_5,raw_state_verified,run.py:numpy-batch
SI-pHiSD,0.0031622776601683794,0.002,2000000,388,-0.7578125,1.434375,completed,0.8553836812215627,4.926769840465987,5317879773.904011,530284547.23452055,45201782857.06685,3199,state_safeguard,U,state_safeguard,source_norm2_gt_5,raw_state_verified,run.py:numpy-batch
SI-pHiSD,0.0031622776601683794,0.002,2000000,422,-0.7390625000000001,1.453125,completed,0.8453765519841763,4.928079958742731,5098076173.68822,509261047.5301457,43277505472.63916,3209,state_safeguard,U,state_safeguard,source_norm2_gt_5,raw_state_verified,run.py:numpy-batch
SI-pHiSD,0.0031622776601683794,0.002,2000000,456,-0.7203125,1.4718749999999998,completed,0.8281252925788911,4.931037949302479,4764216903.691783,477306603.7742393,40358111665.75954,3220,state_safeguard,U,state_safeguard,source_norm2_gt_5,raw_state_verified,run.py:numpy-batch
SI-pHiSD,0.0031622776601683794,0.002,2000000,321,-0.7859375000000001,1.3968749999999999,completed,0.8642025281941557,4.924939314561189,5494713257.338646,547131152.1114854,46752713681.50891,3227,state_safeguard,U,state_safeguard,source_norm2_gt_5,raw_state_verified,run.py:numpy-batch
