method,eta,tau,budget,start_id,x0,y0,execution_status,raw_x,raw_y,grad_norm,lambda1,lambda2,n_outer_updates,terminal_category,endpoint,stop_reason,failure_reason,certification_reason,source
SI-pHiSD,0.01,0.002,2000000,321,-0.7859375000000001,1.3968749999999999,completed,-1.3060471753088372,4.827114378765507,1237515.9959515224,227719.22626819444,7210071.327396128,500,state_safeguard,U,state_safeguard,source_norm2_gt_5,raw_state_verified,run.py:numpy-batch
SI-pHiSD,0.01,0.002,2000000,417,-0.7859375000000001,1.453125,completed,-4.851317584887361,1.2201323178302652,1696247.282666617,299268.351211081,10090583.26790791,508,state_safeguard,U,state_safeguard,source_norm2_gt_5,raw_state_verified,run.py:numpy-batch
SI-pHiSD,0.01,0.002,2000000,421,-0.7484375000000001,1.453125,completed,-4.879717319852565,1.1005846984609213,2611114.9278630707,437843.00716327864,15964436.54370926,558,state_safeguard,U,state_safeguard,source_norm2_gt_5,raw_state_verified,run.py:numpy-batch
SI-pHiSD,0.01,0.002,2000000,288,-0.7953125000000001,1.378125,completed,-1.0275835358656114,4.89515229242429,3402568.0072420263,552856.7942235811,21141951.54853462,578,state_safeguard,U,state_safeguard,source_norm2_gt_5,raw_state_verified,run.py:numpy-batch
SI-pHiSD,0.01,0.002,2000000,256,-0.7953125000000001,1.359375,completed,-1.373617735743012,4.8095047445827355,982385.3597263342,187506.8376569846,5632167.603847811,605,state_safeguard,U,state_safeguard,source_norm2_gt_5,raw_state_verified,run.py:numpy-batch
SI-pHiSD,0.01,0.002,2000000,455,-0.7296875,1.4718749999999998,completed,-4.937100463129818,0.7979517382675759,7982272.098359562,1197545.8382550809,52069320.31842085,626,state_safeguard,U,state_safeguard,source_norm2_gt_5,raw_state_verified,run.py:numpy-batch
SI-pHiSD,0.01,0.002,2000000,452,-0.7578125,1.4718749999999998,completed,-4.957182113276937,0.6714958471499499,13009673.484199548,1870669.0757492383,87071887.66814008,629,state_safeguard,U,state_safeguard,source_norm2_gt_5,raw_state_verified,run.py:numpy-batch
SI-pHiSD,0.01,0.002,2000000,457,-0.7109375,1.4718749999999998,completed,-4.930835718112606,0.8378728838600311,6881088.327721598,1046545.2963109321,44521742.26939836,659,state_safeguard,U,state_safeguard,source_norm2_gt_5,raw_state_verified,run.py:numpy-batch
SI-pHiSD,0.01,0.002,2000000,453,-0.7484375000000001,1.4718749999999998,completed,-4.982000535420499,0.4247364146487552,33253266.64605139,4431022.397304512,233103210.04597723,695,state_safeguard,U,state_safeguard,source_norm2_gt_5,raw_state_verified,run.py:numpy-batch
SI-pHiSD,0.01,0.002,2000000,450,-0.7765625,1.4718749999999998,completed,-4.990817422494258,0.3142488814786489,51416502.73661578,6635162.908345481,367691052.4441404,699,state_safeguard,U,state_safeguard,source_norm2_gt_5,raw_state_verified,run.py:numpy-batch
