method,eta,tau,budget,start_id,x0,y0,execution_status,raw_x,raw_y,grad_norm,lambda1,lambda2,n_outer_updates,terminal_category,endpoint,stop_reason,failure_reason,certification_reason,source
SI-pHiSD,0.00012589254117941674,0.002,2000000,448,-0.7953125000000001,1.4718749999999998,completed,1.218847321161781,4.84918424783966,21807138380.59,2055383138.2399602,193234592275.0666,80609,state_safeguard,U,state_safeguard,source_norm2_gt_5,raw_state_verified,run.py:numpy-batch
SI-pHiSD,0.00012589254117941674,0.002,2000000,416,-0.7953125000000001,1.453125,completed,1.2188489595244925,4.849171273069775,21805388023.875763,2055221688.2531164,193218725657.75128,80785,state_safeguard,U,state_safeguard,source_norm2_gt_5,raw_state_verified,run.py:numpy-batch
SI-pHiSD,0.00012589254117941674,0.002,2000000,449,-0.7859375000000001,1.4718749999999998,completed,1.2188510608339456,4.849183532912311,21807485353.215397,2055414675.38068,193237751602.8144,80821,state_safeguard,U,state_safeguard,source_norm2_gt_5,raw_state_verified,run.py:numpy-batch
SI-pHiSD,0.00012589254117941674,0.002,2000000,450,-0.7765625,1.4718749999999998,completed,1.2188462583112853,4.849176375879647,21805826493.127064,2055262395.143562,193222692346.2727,81098,state_safeguard,U,state_safeguard,source_norm2_gt_5,raw_state_verified,run.py:numpy-batch
SI-pHiSD,0.00012589254117941674,0.002,2000000,417,-0.7859375000000001,1.453125,completed,1.2188574774155856,4.849178355600228,21807487095.58866,2055414098.6417158,193237789647.06598,81131,state_safeguard,U,state_safeguard,source_norm2_gt_5,raw_state_verified,run.py:numpy-batch
SI-pHiSD,0.00012589254117941674,0.002,2000000,481,-0.7859375000000001,1.4906249999999999,completed,1.2188249861881089,4.849192408560597,21805650794.914047,2055248651.9258654,193221025370.7843,81146,state_safeguard,U,state_safeguard,source_norm2_gt_5,raw_state_verified,run.py:numpy-batch
SI-pHiSD,0.00012589254117941674,0.002,2000000,480,-0.7953125000000001,1.4906249999999999,completed,1.2188111609477652,4.84918783509745,21803284081.111076,2055032192.3103037,193199516054.81934,81166,state_safeguard,U,state_safeguard,source_norm2_gt_5,raw_state_verified,run.py:numpy-batch
SI-pHiSD,0.00012589254117941674,0.002,2000000,482,-0.7765625,1.4906249999999999,completed,1.2188355197280112,4.849192049293489,21806876640.496483,2055360379.8994036,193232177893.5691,81179,state_safeguard,U,state_safeguard,source_norm2_gt_5,raw_state_verified,run.py:numpy-batch
SI-pHiSD,0.00012589254117941674,0.002,2000000,483,-0.7671875,1.4906249999999999,completed,1.2188407121548461,4.849188877519006,21807030976.08123,2055374002.35215,193233595415.2338,81321,state_safeguard,U,state_safeguard,source_norm2_gt_5,raw_state_verified,run.py:numpy-batch
SI-pHiSD,0.00012589254117941674,0.002,2000000,384,-0.7953125000000001,1.434375,completed,1.2188662008913698,4.849183428577949,21809309383.025547,2055580984.58116,193254344497.04126,81327,state_safeguard,U,state_safeguard,source_norm2_gt_5,raw_state_verified,run.py:numpy-batch
SI-pHiSD,0.00012589254117941674,0.002,2000000,451,-0.7671875,1.4718749999999998,completed,1.2188538612452595,4.8491812914560155,21807488832.55495,2055414674.1667473,193237792861.81918,81445,state_safeguard,U,state_safeguard,source_norm2_gt_5,raw_state_verified,run.py:numpy-batch
SI-pHiSD,0.00012589254117941674,0.002,2000000,418,-0.7765625,1.453125,completed,1.218864793360835,4.849184803314322,21809344922.16378,2055584420.5540407,193254661888.4583,81547,state_safeguard,U,state_safeguard,source_norm2_gt_5,raw_state_verified,run.py:numpy-batch
