method,eta,tau,budget,start_id,x0,y0,execution_status,raw_x,raw_y,grad_norm,lambda1,lambda2,n_outer_updates,terminal_category,endpoint,stop_reason,failure_reason,certification_reason,source
SI-pHiSD,0.006309573444801936,0.002,2000000,421,-0.7484375000000001,1.453125,completed,-0.9988111697148708,4.900785894596665,3776436.441727417,607031.1700448128,23611728.723102678,870,state_safeguard,U,state_safeguard,source_norm2_gt_5,raw_state_verified,run.py:numpy-batch
SI-pHiSD,0.006309573444801936,0.002,2000000,423,-0.7296875,1.453125,completed,-0.9962932164816565,4.901479188094307,3815666.571127728,612738.6752706752,23871114.36027903,922,state_safeguard,U,state_safeguard,source_norm2_gt_5,raw_state_verified,run.py:numpy-batch
SI-pHiSD,0.006309573444801936,0.002,2000000,424,-0.7203125,1.453125,completed,-1.1242453991281534,4.873320600791407,2382345.5233023977,402387.1821508012,14484454.518130695,929,state_safeguard,U,state_safeguard,source_norm2_gt_5,raw_state_verified,run.py:numpy-batch
SI-pHiSD,0.006309573444801936,0.002,2000000,384,-0.7953125000000001,1.434375,completed,-0.25203588733884663,4.995159136964993,65985305.61217728,8369240.375457935,477110131.72906995,1105,state_safeguard,U,state_safeguard,source_norm2_gt_5,raw_state_verified,run.py:numpy-batch
SI-pHiSD,0.006309573444801936,0.002,2000000,385,-0.7859375000000001,1.434375,completed,-0.27414796234284805,4.992660217035346,59987887.05903583,7657338.708953539,431967758.0163917,1105,state_safeguard,U,state_safeguard,source_norm2_gt_5,raw_state_verified,run.py:numpy-batch
SI-pHiSD,0.006309573444801936,0.002,2000000,386,-0.7765625,1.434375,completed,-0.30153982739318413,4.992550657775649,54365540.2029434,6990942.298458366,389726023.4587663,1107,state_safeguard,U,state_safeguard,source_norm2_gt_5,raw_state_verified,run.py:numpy-batch
SI-pHiSD,0.006309573444801936,0.002,2000000,387,-0.7671875,1.434375,completed,-0.20575612337799398,4.996490487962128,78788588.82091323,9869405.083327282,574141085.6598312,1158,state_safeguard,U,state_safeguard,source_norm2_gt_5,raw_state_verified,run.py:numpy-batch
SI-pHiSD,0.006309573444801936,0.002,2000000,389,-0.7484375000000001,1.434375,completed,-0.32147659111299487,4.990550343277069,50039923.46458212,6472064.5205074195,357404598.290933,1158,state_safeguard,U,state_safeguard,source_norm2_gt_5,raw_state_verified,run.py:numpy-batch
SI-pHiSD,0.006309573444801936,0.002,2000000,388,-0.7578125,1.434375,completed,-0.23730339174995527,4.995781969764208,69881575.67576607,8827823.691883164,506558724.2069715,1165,state_safeguard,U,state_safeguard,source_norm2_gt_5,raw_state_verified,run.py:numpy-batch
SI-pHiSD,0.006309573444801936,0.002,2000000,455,-0.7296875,1.4718749999999998,completed,-4.996098133139962,0.2263341505143138,72878403.19109154,9177746.45979846,529259394.84074056,1196,state_safeguard,U,state_safeguard,source_norm2_gt_5,raw_state_verified,run.py:numpy-batch
SI-pHiSD,0.006309573444801936,0.002,2000000,454,-0.7390625000000001,1.4718749999999998,completed,-4.996275342658732,0.2025514725131393,79616867.55592074,9963831.980127601,580454531.8739548,1201,state_safeguard,U,state_safeguard,source_norm2_gt_5,raw_state_verified,run.py:numpy-batch
SI-pHiSD,0.006309573444801936,0.002,2000000,353,-0.7859375000000001,1.415625,completed,-0.08100776085670093,5.0008561653387,129654140.41880074,15715635.379716204,964879104.2608962,1203,state_safeguard,U,state_safeguard,source_norm2_gt_5,raw_state_verified,run.py:numpy-batch
