method,eta,tau,budget,start_id,x0,y0,execution_status,raw_x,raw_y,grad_norm,lambda1,lambda2,n_outer_updates,terminal_category,endpoint,stop_reason,failure_reason,certification_reason,source
SI-pHiSD,0.00794328234724282,0.002,2000000,354,-0.7765625,1.415625,completed,-0.9490127053519466,4.911305309053579,4558075.641664913,719361.5718722243,28811988.033841573,713,state_safeguard,U,state_safeguard,source_norm2_gt_5,raw_state_verified,run.py:numpy-batch
SI-pHiSD,0.00794328234724282,0.002,2000000,353,-0.7859375000000001,1.415625,completed,-0.8487226057421488,4.929829796353506,6638794.343569167,1011681.9908701166,42865849.801038936,728,state_safeguard,U,state_safeguard,source_norm2_gt_5,raw_state_verified,run.py:numpy-batch
SI-pHiSD,0.00794328234724282,0.002,2000000,357,-0.7484375000000001,1.415625,completed,-1.1680010452695178,4.864002919002245,2044510.46395037,351822.622085413,12309652.222847234,753,state_safeguard,U,state_safeguard,source_norm2_gt_5,raw_state_verified,run.py:numpy-batch
SI-pHiSD,0.00794328234724282,0.002,2000000,355,-0.7671875,1.415625,completed,-0.8411243349744869,4.931358569776418,6840264.655780631,1039646.3078160576,44238783.850280076,763,state_safeguard,U,state_safeguard,source_norm2_gt_5,raw_state_verified,run.py:numpy-batch
SI-pHiSD,0.00794328234724282,0.002,2000000,352,-0.7953125000000001,1.415625,completed,-0.6789473591847259,4.955499639997328,12593869.736460803,1814963.6276488376,84153887.1868971,766,state_safeguard,U,state_safeguard,source_norm2_gt_5,raw_state_verified,run.py:numpy-batch
SI-pHiSD,0.00794328234724282,0.002,2000000,356,-0.7578125,1.415625,completed,-0.8971126163174752,4.919246400005906,5473324.026544655,848450.3542160727,34967817.180187896,774,state_safeguard,U,state_safeguard,source_norm2_gt_5,raw_state_verified,run.py:numpy-batch
SI-pHiSD,0.00794328234724282,0.002,2000000,322,-0.7765625,1.3968749999999999,completed,-0.7957357428590204,4.938641765515753,8105515.243365044,1213383.2267381134,52911660.42379063,796,state_safeguard,U,state_safeguard,source_norm2_gt_5,raw_state_verified,run.py:numpy-batch
SI-pHiSD,0.00794328234724282,0.002,2000000,321,-0.7859375000000001,1.3968749999999999,completed,-0.5986589764343933,4.964480031005278,16995172.54997995,2388424.653343546,115322045.47839776,828,state_safeguard,U,state_safeguard,source_norm2_gt_5,raw_state_verified,run.py:numpy-batch
SI-pHiSD,0.00794328234724282,0.002,2000000,320,-0.7953125000000001,1.3968749999999999,completed,-0.5343084284241616,4.97359862255451,22019806.13856439,3032198.154981596,151318661.2353875,831,state_safeguard,U,state_safeguard,source_norm2_gt_5,raw_state_verified,run.py:numpy-batch
SI-pHiSD,0.00794328234724282,0.002,2000000,455,-0.7296875,1.4718749999999998,completed,-4.963851082822383,0.6010612497340283,16804654.57537893,2363543.142660727,113967315.45591056,840,state_safeguard,U,state_safeguard,source_norm2_gt_5,raw_state_verified,run.py:numpy-batch
