method,eta,tau,budget,start_id,x0,y0,execution_status,raw_x,raw_y,grad_norm,lambda1,lambda2,n_outer_updates,terminal_category,endpoint,stop_reason,failure_reason,certification_reason,source
HiSD,0.00794328234724282,0.002,2000000,3,-0.7671875,1.2093749999999999,completed,-3.9552970398278453,3.1710364272325613,11615.432228132668,7254.658958811096,42142.983410846675,1,state_safeguard,U,state_safeguard,source_norm2_gt_5,raw_state_verified,run.py:numpy-batch
HiSD,0.00794328234724282,0.002,2000000,4,-0.7578125,1.2093749999999999,completed,-4.127484708229444,3.2968261636854175,24849.117780273264,14576.094723443084,91687.67682055503,1,state_safeguard,U,state_safeguard,source_norm2_gt_5,raw_state_verified,run.py:numpy-batch
HiSD,0.00794328234724282,0.002,2000000,5,-0.7484375000000001,1.2093749999999999,completed,-4.302776063923397,3.4169737670293285,53781.29951348243,28685.090031679487,201855.51915300224,1,state_safeguard,U,state_safeguard,source_norm2_gt_5,raw_state_verified,run.py:numpy-batch
HiSD,0.00794328234724282,0.002,2000000,6,-0.7390625000000001,1.2093749999999999,completed,-4.481035386770744,3.5303802014792254,118985.98075156209,59040.80040416058,464773.85117533617,1,state_safeguard,U,state_safeguard,source_norm2_gt_5,raw_state_verified,run.py:numpy-batch
HiSD,0.00794328234724282,0.002,2000000,7,-0.7296875,1.2093749999999999,completed,-4.662181744437294,3.635817777125683,272443.3203254878,128089.29276323716,1116036.5614051397,1,state_safeguard,U,state_safeguard,source_norm2_gt_5,raw_state_verified,run.py:numpy-batch
HiSD,0.00794328234724282,0.002,2000000,8,-0.7203125,1.2093749999999999,completed,-4.846199112548568,3.7318997434437096,646507.2914115096,288656.77177421795,2772041.077447392,1,state_safeguard,U,state_safeguard,source_norm2_gt_5,raw_state_verified,run.py:numpy-batch
HiSD,0.00794328234724282,0.002,2000000,9,-0.7109375,1.2093749999999999,completed,-5.03314723272586,3.817039963482398,1586225.2947674808,670401.2477026586,7103938.823169713,1,state_safeguard,U,state_safeguard,source_norm2_gt_5,raw_state_verified,run.py:numpy-batch
HiSD,0.00794328234724282,0.002,2000000,10,-0.7015625000000001,1.2093749999999999,completed,-5.22317279205728,3.8893991528485197,4019822.950188579,1603940.0918125897,18793045.993065275,1,state_safeguard,U,state_safeguard,source_norm2_gt_5,raw_state_verified,run.py:numpy-batch
HiSD,0.00794328234724282,0.002,2000000,11,-0.6921875000000001,1.2093749999999999,completed,-5.416520028801827,3.9468127734140843,10530450.957168888,3958425.966191769,51395637.82117139,1,state_safeguard,U,state_safeguard,source_norm2_gt_5,raw_state_verified,run.py:numpy-batch
HiSD,0.00794328234724282,0.002,2000000,12,-0.6828125,1.2093749999999999,completed,-5.6135389810945,3.9866936781162012,28586502.311941456,10095363.06980698,145712548.6341806,1,state_safeguard,U,state_safeguard,source_norm2_gt_5,raw_state_verified,run.py:numpy-batch
