method,N,eta,tau,J,max_iter,history_records,actual_outer_updates,stop_reason,endpoint_residual,repeats,T_total,T_M_setup_upd,T_M_apply_solve,T_eig_net,target_index,delta_ind,morse_index,index_resolved,index_pass,lambda_1,lambda_2,endpoint_status,T_certify
"HiSD",50,5.0000000000000002e-05,5.0000000000000002e-05,5,2000000,155739,155738,"converged",9.9996700656928567e-07,3,23.019761833333334,0,0,22.299941916667084,1,9.9999999999999995e-07,1,1,1,-2.0879720950763954,1.9938691564587867,"converged",0.00054141666666666672
"Block Jacobi",50,0.5,0.050000000000000003,5,2000000,70,69,"converged",7.6195513584201709e-07,3,0.021120833333333332,0.0018415416666666619,0.00067695833333333334,0.015731291666666675,1,9.9999999999999995e-07,1,1,1,-2.0879771786002537,1.9938500876157614,"converged",0.00045825
"Incomplete Cholesky",50,0.5,0.050000000000000003,5,2000000,67,66,"converged",8.8657001754412866e-07,3,0.075155250000000007,0.046225249999999989,0.005164375000000004,0.019060624999999991,1,9.9999999999999995e-07,1,1,1,-2.0879774593814884,1.993850087611279,"converged",0.00042958333333333336
"Frozen Spectral",50,0.5,0.050000000000000003,5,2000000,138,137,"converged",9.4592130516957717e-07,3,0.023272416666666667,0.00077629166666667035,0.0014204999999999942,0.018257625000000003,1,9.9999999999999995e-07,1,1,1,-2.0879743746946788,1.9938748698888311,"converged",0.00041966666666666666
