method,run_id,iteration,residual
HiSD,comparison_HiSD_seed1_repeat1,870,0.9187893365722275
HiSD,comparison_HiSD_seed1_repeat1,880,0.8681079217858633
HiSD,comparison_HiSD_seed1_repeat1,890,0.8202342326512174
HiSD,comparison_HiSD_seed1_repeat1,900,0.7750122011827715
HiSD,comparison_HiSD_seed1_repeat1,910,0.732294475942331
HiSD,comparison_HiSD_seed1_repeat1,920,0.6919419299930413
HiSD,comparison_HiSD_seed1_repeat1,930,0.6538231976328764
HiSD,comparison_HiSD_seed1_repeat1,940,0.6178142376229748
HiSD,comparison_HiSD_seed1_repeat1,950,0.583797921481548
HiSD,comparison_HiSD_seed1_repeat1,960,0.551663645612303
HiSD,comparison_HiSD_seed1_repeat1,970,0.5213069653942796
HiSD,comparison_HiSD_seed1_repeat1,980,0.49262925005544317
HiSD,comparison_HiSD_seed1_repeat1,990,0.4655373574242754
HiSD,comparison_HiSD_seed1_repeat1,1000,0.43994332685819326
HiSD,comparison_HiSD_seed1_repeat1,1010,0.4157640896958738
HiSD,comparison_HiSD_seed1_repeat1,1020,0.39292119608903486
HiSD,comparison_HiSD_seed1_repeat1,1030,0.37134055703212193
HiSD,comparison_HiSD_seed1_repeat1,1040,0.35095220121519133
HiSD,comparison_HiSD_seed1_repeat1,1050,0.33169004537598606
HiSD,comparison_HiSD_seed1_repeat1,1060,0.31349167751024704
HiSD,comparison_HiSD_seed1_repeat1,1070,0.2962981524365859
HiSD,comparison_HiSD_seed1_repeat1,1080,0.28005379866390956
HiSD,comparison_HiSD_seed1_repeat1,1090,0.2647060360451896
HiSD,comparison_HiSD_seed1_repeat1,1100,0.2502052038788505
HiSD,comparison_HiSD_seed1_repeat1,1110,0.23650439827088623
HiSD,comparison_HiSD_seed1_repeat1,1120,0.22355931888167752
HiSD,comparison_HiSD_seed1_repeat1,1130,0.2113281241165732
HiSD,comparison_HiSD_seed1_repeat1,1140,0.19977129437597116
HiSD,comparison_HiSD_seed1_repeat1,1150,0.1888515029930495
HiSD,comparison_HiSD_seed1_repeat1,1160,0.17853349425456422
HiSD,comparison_HiSD_seed1_repeat1,1170,0.16878396844962393
HiSD,comparison_HiSD_seed1_repeat1,1180,0.1595714730928337
HiSD,comparison_HiSD_seed1_repeat1,1190,0.15086630032422405
HiSD,comparison_HiSD_seed1_repeat1,1200,0.14264038994154885
HiSD,comparison_HiSD_seed1_repeat1,1210,0.13486723796576647
