start_id,x0,y0
0,-0.7953125000000001,1.2093749999999999
1,-0.7859375000000001,1.2093749999999999
2,-0.7765625,1.2093749999999999
3,-0.7671875,1.2093749999999999
4,-0.7578125,1.2093749999999999
5,-0.7484375000000001,1.2093749999999999
6,-0.7390625000000001,1.2093749999999999
7,-0.7296875,1.2093749999999999
8,-0.7203125,1.2093749999999999
9,-0.7109375,1.2093749999999999
10,-0.7015625000000001,1.2093749999999999
11,-0.6921875000000001,1.2093749999999999
12,-0.6828125,1.2093749999999999
13,-0.6734375,1.2093749999999999
14,-0.6640625,1.2093749999999999
15,-0.6546875000000001,1.2093749999999999
16,-0.6453125000000001,1.2093749999999999
17,-0.6359375,1.2093749999999999
18,-0.6265625,1.2093749999999999
19,-0.6171875,1.2093749999999999
20,-0.6078125000000001,1.2093749999999999
21,-0.5984375000000001,1.2093749999999999
22,-0.5890625,1.2093749999999999
23,-0.5796875,1.2093749999999999
24,-0.5703125,1.2093749999999999
25,-0.5609375000000001,1.2093749999999999
26,-0.5515625000000001,1.2093749999999999
27,-0.5421875,1.2093749999999999
28,-0.5328125000000001,1.2093749999999999
29,-0.5234375,1.2093749999999999
30,-0.5140625000000001,1.2093749999999999
31,-0.5046875000000001,1.2093749999999999
32,-0.7953125000000001,1.228125
33,-0.7859375000000001,1.228125
34,-0.7765625,1.228125
35,-0.7671875,1.228125
36,-0.7578125,1.228125
37,-0.7484375000000001,1.228125
38,-0.7390625000000001,1.228125
39,-0.7296875,1.228125
40,-0.7203125,1.228125
41,-0.7109375,1.228125
42,-0.7015625000000001,1.228125
43,-0.6921875000000001,1.228125
44,-0.6828125,1.228125
45,-0.6734375,1.228125
46,-0.6640625,1.228125
47,-0.6546875000000001,1.228125
48,-0.6453125000000001,1.228125
49,-0.6359375,1.228125
50,-0.6265625,1.228125
51,-0.6171875,1.228125
52,-0.6078125000000001,1.228125
53,-0.5984375000000001,1.228125
54,-0.5890625,1.228125
55,-0.5796875,1.228125
56,-0.5703125,1.228125
57,-0.5609375000000001,1.228125
58,-0.5515625000000001,1.228125
59,-0.5421875,1.228125
60,-0.5328125000000001,1.228125
61,-0.5234375,1.228125
62,-0.5140625000000001,1.228125
63,-0.5046875000000001,1.228125
64,-0.7953125000000001,1.246875
65,-0.7859375000000001,1.246875
66,-0.7765625,1.246875
67,-0.7671875,1.246875
68,-0.7578125,1.246875
69,-0.7484375000000001,1.246875
70,-0.7390625000000001,1.246875
71,-0.7296875,1.246875
72,-0.7203125,1.246875
73,-0.7109375,1.246875
74,-0.7015625000000001,1.246875
75,-0.6921875000000001,1.246875
76,-0.6828125,1.246875
77,-0.6734375,1.246875
78,-0.6640625,1.246875
79,-0.6546875000000001,1.246875
80,-0.6453125000000001,1.246875
81,-0.6359375,1.246875
82,-0.6265625,1.246875
83,-0.6171875,1.246875
84,-0.6078125000000001,1.246875
85,-0.5984375000000001,1.246875
86,-0.5890625,1.246875
87,-0.5796875,1.246875
88,-0.5703125,1.246875
89,-0.5609375000000001,1.246875
90,-0.5515625000000001,1.246875
91,-0.5421875,1.246875
92,-0.5328125000000001,1.246875
93,-0.5234375,1.246875
94,-0.5140625000000001,1.246875
95,-0.5046875000000001,1.246875
96,-0.7953125000000001,1.265625
97,-0.7859375000000001,1.265625
98,-0.7765625,1.265625
99,-0.7671875,1.265625
100,-0.7578125,1.265625
101,-0.7484375000000001,1.265625
102,-0.7390625000000001,1.265625
103,-0.7296875,1.265625
104,-0.7203125,1.265625
105,-0.7109375,1.265625
106,-0.7015625000000001,1.265625
107,-0.6921875000000001,1.265625
108,-0.6828125,1.265625
109,-0.6734375,1.265625
110,-0.6640625,1.265625
111,-0.6546875000000001,1.265625
112,-0.6453125000000001,1.265625
113,-0.6359375,1.265625
114,-0.6265625,1.265625
115,-0.6171875,1.265625
116,-0.6078125000000001,1.265625
117,-0.5984375000000001,1.265625
118,-0.5890625,1.265625
119,-0.5796875,1.265625
120,-0.5703125,1.265625
121,-0.5609375000000001,1.265625
122,-0.5515625000000001,1.265625
123,-0.5421875,1.265625
124,-0.5328125000000001,1.265625
125,-0.5234375,1.265625
126,-0.5140625000000001,1.265625
127,-0.5046875000000001,1.265625
128,-0.7953125000000001,1.284375
129,-0.7859375000000001,1.284375
130,-0.7765625,1.284375
131,-0.7671875,1.284375
132,-0.7578125,1.284375
133,-0.7484375000000001,1.284375
134,-0.7390625000000001,1.284375
135,-0.7296875,1.284375
136,-0.7203125,1.284375
137,-0.7109375,1.284375
138,-0.7015625000000001,1.284375
139,-0.6921875000000001,1.284375
140,-0.6828125,1.284375
141,-0.6734375,1.284375
142,-0.6640625,1.284375
143,-0.6546875000000001,1.284375
144,-0.6453125000000001,1.284375
145,-0.6359375,1.284375
146,-0.6265625,1.284375
147,-0.6171875,1.284375
148,-0.6078125000000001,1.284375
149,-0.5984375000000001,1.284375
150,-0.5890625,1.284375
151,-0.5796875,1.284375
152,-0.5703125,1.284375
153,-0.5609375000000001,1.284375
154,-0.5515625000000001,1.284375
155,-0.5421875,1.284375
156,-0.5328125000000001,1.284375
157,-0.5234375,1.284375
158,-0.5140625000000001,1.284375
159,-0.5046875000000001,1.284375
160,-0.7953125000000001,1.3031249999999999
161,-0.7859375000000001,1.3031249999999999
162,-0.7765625,1.3031249999999999
163,-0.7671875,1.3031249999999999
164,-0.7578125,1.3031249999999999
165,-0.7484375000000001,1.3031249999999999
166,-0.7390625000000001,1.3031249999999999
167,-0.7296875,1.3031249999999999
168,-0.7203125,1.3031249999999999
169,-0.7109375,1.3031249999999999
170,-0.7015625000000001,1.3031249999999999
171,-0.6921875000000001,1.3031249999999999
172,-0.6828125,1.3031249999999999
173,-0.6734375,1.3031249999999999
174,-0.6640625,1.3031249999999999
175,-0.6546875000000001,1.3031249999999999
176,-0.6453125000000001,1.3031249999999999
177,-0.6359375,1.3031249999999999
178,-0.6265625,1.3031249999999999
179,-0.6171875,1.3031249999999999
180,-0.6078125000000001,1.3031249999999999
181,-0.5984375000000001,1.3031249999999999
182,-0.5890625,1.3031249999999999
183,-0.5796875,1.3031249999999999
184,-0.5703125,1.3031249999999999
185,-0.5609375000000001,1.3031249999999999
186,-0.5515625000000001,1.3031249999999999
187,-0.5421875,1.3031249999999999
188,-0.5328125000000001,1.3031249999999999
189,-0.5234375,1.3031249999999999
190,-0.5140625000000001,1.3031249999999999
191,-0.5046875000000001,1.3031249999999999
192,-0.7953125000000001,1.321875
193,-0.7859375000000001,1.321875
194,-0.7765625,1.321875
195,-0.7671875,1.321875
196,-0.7578125,1.321875
197,-0.7484375000000001,1.321875
198,-0.7390625000000001,1.321875
199,-0.7296875,1.321875
200,-0.7203125,1.321875
201,-0.7109375,1.321875
202,-0.7015625000000001,1.321875
203,-0.6921875000000001,1.321875
204,-0.6828125,1.321875
205,-0.6734375,1.321875
206,-0.6640625,1.321875
207,-0.6546875000000001,1.321875
208,-0.6453125000000001,1.321875
