method,label,status,converged,iterations,final_residual,final_index,quantity,repetition_1,repetition_2,repetition_3,median,min,max
standard_hisd,HiSD,converged,True,33939,9.99716925998432e-07,1,T_total,78.9604713730223,80.13147820797167,81.32218203999219,80.13147820797167,78.9604713730223,81.32218203999219
standard_hisd,HiSD,converged,True,33939,9.99716925998432e-07,1,T_setup_update,0,0,0,0,0,0
standard_hisd,HiSD,converged,True,33939,9.99716925998432e-07,1,T_apply_solve,0,0,0,0,0,0
standard_hisd,HiSD,converged,True,33939,9.99716925998432e-07,1,T_eig,68.42355635904823,69.43927638378227,70.47120861741132,69.43927638378227,68.42355635904823,70.47120861741132
standard_hisd,HiSD,converged,True,33939,9.99716925998432e-07,1,T_cert,0.11229387499042787,0.1048219169897493,0.10571537501527928,0.10571537501527928,0.1048219169897493,0.11229387499042787
standard_hisd,HiSD,converged,True,33939,9.99716925998432e-07,1,T_shared_initial,0.10702166601549834,0.1102429999737069,0.10496283299289644,0.10702166601549834,0.10496283299289644,0.1102429999737069
standard_hisd,HiSD,converged,True,33939,9.99716925998432e-07,1,T_H0_build,0.10381991698523052,0.10717033297987655,0.10170349999680184,0.10381991698523052,0.10170349999680184,0.10717033297987655
standard_hisd,HiSD,converged,True,33939,9.99716925998432e-07,1,T_shared_spectrum,0.0031529589905403554,0.002999834017828107,0.0032035420008469373,0.0031529589905403554,0.002999834017828107,0.0032035420008469373
standard_hisd,HiSD,converged,True,33939,9.99716925998432e-07,1,T_shared_other,4.879003972746432e-05,7.283297600224614e-05,5.579099524766207e-05,5.579099524766207e-05,4.879003972746432e-05,7.283297600224614e-05
standard_hisd,HiSD,converged,True,33939,9.99716925998432e-07,1,T_method_initial,0.0029966660076752305,0.003013375011505559,0.0030015409865882248,0.0030015409865882248,0.0029966660076752305,0.003013375011505559
standard_hisd,HiSD,converged,True,33939,9.99716925998432e-07,1,T_initial_eig,0.00299483397975564,0.0030085839971434325,0.0029988749884068966,0.0029988749884068966,0.00299483397975564,0.0030085839971434325
standard_hisd,HiSD,converged,True,33939,9.99716925998432e-07,1,T_outer,78.85045304099913,80.01822183298646,81.2142176660127,80.01822183298646,78.85045304099913,81.2142176660127
