method,eta,tau,J,outer_updates,final_state_residual,final_frame_residual,final_Morse_index,lambda_1,lambda_2,median_t_total,representative_t_total,t_endpoint_certification,t_M_setup,t_M_refresh,t_M_setup_update,t_M_apply,t_M_solve,t_M_apply_solve,t_eigensolver_init,t_eigensolver_update,t_eigensolver,gradient_evaluations,HVP_vector_equivalents,M_apply_RHS_count,M_solve_RHS_count,preconditioner_setup_count,preconditioner_refresh_update_count
HiSD,0.0005,0.00025,5,48322,4.336286578886769e-07,9.70122869067785e-09,1,-0.4336446820140366,0.44064374357602315,107.59213554207236,107.59213554207236,0.06007362494710833,0.0,0.0,0.0,0.0,0.0,0.0,0.2263023330597207,79.19971204886679,79.4260143819265,48323,291451,0,0,0,0
p-HiSD,0.25,0.1,5,570,4.337179081309133e-07,5.0278322908992074e-09,1,-0.4336446820138919,0.44064374357630404,1.8917293749982491,1.8917293749982491,0.05571462493389845,0.0013557920465245843,0.0,0.0013557920465245843,0.13903898117132485,0.4330760471057147,0.5721150282770395,0.02362237498164177,1.3353694608667865,1.3589918358484283,571,4339,4085,4037,1,0
