method,status,iterations,final_residual,min_residual,refreeze_triggered,refreeze_iter,refreeze_residual,eta_before_refreeze,eta_after_refreeze,tau,J,lambda_1,lambda_2,lambda_3,lambda_4,lambda_5,index_k_verified,max_abs_u,run_time,sigma,ichol_droptol,ichol_retries,ichol_success
standard,divergence,31127,791135.361555548,2.65392892285446,0,-1,NaN,1e-05,1e-05,0.01,5,7.18090493159747,22.6828803938907,28.9557424864554,35.6511119677099,73.7263429607916,0,27.5802360960276,4.01930895833333,NaN,NaN,NaN,0
spectral,success,199,9.00029992635273e-07,9.00029992635273e-07,1,160,0.298915466784702,0.25,1.5,0.01,5,-120.693270447383,-8.10925809390799,-7.88816284082019,1.7074582907317,13.5243268356945,1,4.18248263657548,0.220058708333333,NaN,NaN,NaN,0
block-jacobi,success,5003,9.99427244721077e-07,9.99427244721077e-07,1,1905,0.299263945093856,0.25,0.9,0.01,5,-120.693271169843,-8.10925808483545,-7.88816284283766,1.70745863366547,13.5243268396717,1,4.18248265184127,5.14532695833333,NaN,NaN,NaN,0
shifted-ic,success,1356,9.90393149020344e-07,9.90393149020344e-07,1,205,0.29835193904836,0.25,1.5,0.01,5,-120.693271563217,-8.10925809192183,-7.88816284570692,1.70745849093601,13.5243268297427,1,4.18248268697331,0.499911291666667,241.252259217995,0.001,0,1
h1-reaction,success,749,9.9872182366782e-07,9.9872182366782e-07,1,301,0.298796863757942,0.25,1.5,0.01,5,-120.693271266238,-8.10925809012687,-7.88816284465231,1.70745852543099,13.524326830218,1,4.18248267131336,0.321426458333333,NaN,NaN,NaN,0
