iteration,residual,refreeze_id,eta_current
0,22.3850809010541,0,0.25
1,18.8346632688935,0,0.25
2,16.1029674606187,0,0.25
3,13.9858530536388,0,0.25
4,12.3264233462889,0,0.25
5,11.0088254505707,0,0.25
6,9.94918359783762,0,0.25
7,9.08747649123729,0,0.25
8,8.38123357405763,0,0.25
9,7.80096167660608,0,0.25
10,7.32697255079432,0,0.25
11,6.94729668369425,0,0.25
12,6.65645703084448,0,0.25
13,6.45497474003535,0,0.25
14,6.34957737646551,0,0.25
15,6.35419377404743,0,0.25
16,6.49198212130619,0,0.25
17,6.79890493093704,0,0.25
18,7.32981218136841,0,0.25
19,8.16867227014024,0,0.25
20,9.44529946655126,0,0.25
21,11.3603182469241,0,0.25
22,14.2124098902032,0,0.25
23,18.3868168208914,0,0.25
24,24.1447012392061,0,0.25
25,30.7342640793246,0,0.25
26,33.8163232478205,0,0.25
27,27.120367195106,0,0.25
28,44.025553586704,0,0.25
29,20.2807472636451,0,0.25
30,30.625389229206,0,0.25
31,15.3681507415096,0,0.25
32,19.0718215708763,0,0.25
33,12.6098215526781,0,0.25
34,12.5409551973234,0,0.25
35,10.2578813706301,0,0.25
36,9.4063142392819,0,0.25
37,8.38210713059834,0,0.25
38,7.70834935713832,0,0.25
39,7.15284087057181,0,0.25
40,6.74986543131778,0,0.25
41,6.44892872325289,0,0.25
42,6.22731610144764,0,0.25
43,6.05769774459759,0,0.25
44,5.91920796106881,0,0.25
45,5.7951551149413,0,0.25
46,5.67349860305354,0,0.25
47,5.54605588516989,0,0.25
48,5.40780424767664,0,0.25
49,5.2561556763105,0,0.25
50,5.09033629690738,0,0.25
51,4.91087436640061,0,0.25
52,4.71919315964074,0,0.25
53,4.51729311683431,0,0.25
54,4.30750702931471,0,0.25
55,4.09231381222154,0,0.25
56,3.87419904492798,0,0.25
57,3.65555293209135,0,0.25
58,3.43859833727152,0,0.25
59,3.22534304115518,0,0.25
60,3.01755145327365,0,0.25
61,2.81673177025966,0,0.25
62,2.62413513044666,0,0.25
63,2.44076374961718,0,0.25
64,2.2673853967078,0,0.25
65,2.10455191903924,0,0.25
66,1.95261987410328,0,0.25
67,1.81177167797955,0,0.25
68,1.68203604253479,0,0.25
69,1.56330684622149,0,0.25
70,1.4553599659218,0,0.25
71,1.35786798344333,0,0.25
72,1.27041305117671,0,0.25
73,1.19249852030302,0,0.25
74,1.12356014712429,0,0.25
75,1.06297773761589,0,0.25
76,1.01008792449786,0,0.25
77,0.964198400688112,0,0.25
78,0.924603431167396,0,0.25
79,0.890599963010614,0,0.25
80,0.861503296568886,0,0.25
81,0.83666117242316,0,0.25
82,0.815465287036966,0,0.25
83,0.797359606929556,0,0.25
84,0.781845288735372,0,0.25
85,0.768482413744271,0,0.25
86,0.756889032692137,0,0.25
87,0.7467381634245,0,0.25
88,0.737753405896607,0,0.25
89,0.729703773037551,0,0.25
90,0.722398223201711,0,0.25
91,0.715680253708098,0,0.25
92,0.709422797294142,0,0.25
93,0.703523565395279,0,0.25
94,0.697900907463807,0,0.25
95,0.692490202669174,0,0.25
96,0.687240765719373,0,0.25
97,0.682113228034536,0,0.25
98,0.67707734508161,0,0.25
99,0.672110177201756,0,0.25
100,0.667194592108664,0,0.25
101,0.662318040688425,0,0.25
102,0.657471562466193,0,0.25
103,0.652648982369955,0,0.25
104,0.64784626562737,0,0.25
105,0.64306100255575,0,0.25
106,0.638291999446507,0,0.25
107,0.633538955671549,0,0.25
108,0.628802210529935,0,0.25
109,0.624082546256628,0,0.25
110,0.619381036046423,0,0.25
111,0.614698928016384,0,0.25
112,0.610037557703248,0,0.25
113,0.605398283122346,0,0.25
114,0.600782437546454,0,0.25
115,0.596191296135597,0,0.25
116,0.59162605329146,0,0.25
117,0.587087808264121,0,0.25
118,0.582577557026907,0,0.25
119,0.578096188862223,0,0.25
120,0.573644486420906,0,0.25
121,0.569223128290786,0,0.25
122,0.564832693321256,0,0.25
123,0.560473666123725,0,0.25
124,0.556146443296369,0,0.25
125,0.551851340041424,0,0.25
126,0.54758859691584,0,0.25
127,0.543358386533035,0,0.25
128,0.539160820078591,0,0.25
129,0.534995953547762,0,0.25
130,0.530863793648576,0,0.25
131,0.526764303320141,0,0.25
132,0.522697406862864,0,0.25
133,0.518662994662139,0,0.25
134,0.514660927517021,0,0.25
135,0.510691040584768,0,0.25
136,0.506753146953685,0,0.25
137,0.502847040870693,0,0.25
138,0.498972500639692,0,0.25
139,0.49512929121766,0,0.25
140,0.491317166528256,0,0.25
141,0.487535871518103,0,0.25
142,0.483785143979536,0,0.25
143,0.480064716152919,0,0.25
144,0.476374316139797,0,0.25
145,0.472713669138424,0,0.25
146,0.4690824985174,0,0.25
147,0.465480526753437,0,0.25
148,0.461907476235084,0,0.25
149,0.458363069956624,0,0.25
150,0.454847032111734,0,0.25
151,0.451359088592385,0,0.25
152,0.447898967412463,0,0.25
153,0.444466399060153,0,0.25
154,0.441061116786768,0,0.25
155,0.437682856843061,0,0.25
156,0.434331358667354,0,0.25
157,0.431006365030709,0,0.25
158,0.427707622148145,0,0.25
159,0.424434879758588,0,0.25
160,0.421187891173073,0,0.25
161,0.417966413307356,0,0.25
162,0.414770206688108,0,0.25
163,0.411599035446562,0,0.25
164,0.408452667293819,0,0.25
165,0.40533087348869,0,0.25
166,0.40223342879165,0,0.25
167,0.399160111414617,0,0.25
168,0.396110702959413,0,0.25
169,0.393084988354744,0,0.25
170,0.390082755789528,0,0.25
171,0.387103796638461,0,0.25
172,0.384147905391334,0,0.25
173,0.381214879576262,0,0.25
174,0.378304519685932,0,0.25
175,0.375416629100645,0,0.25
176,0.372551014012916,0,0.25
177,0.369707483353126,0,0.25
178,0.366885848714804,0,0.25
179,0.36408592428308,0,0.25
180,0.361307526763247,0,0.25
181,0.358550475309985,0,0.25
182,0.355814591460745,0,0.25
183,0.353099699070045,0,0.25
184,0.350405624245011,0,0.25
185,0.347732195281859,0,0.25
186,0.345079242609944,0,0.25
187,0.342446598728481,0,0.25
188,0.33983409815571,0,0.25
189,0.337241577371246,0,0.25
190,0.334668874766149,0,0.25
191,0.332115830592374,0,0.25
192,0.329582286914669,0,0.25
193,0.327068087564545,0,0.25
194,0.324573078096214,0,0.25
195,0.322097105743101,0,0.25
196,0.319640019378161,0,0.25
197,0.317201669473863,0,0.25
198,0.31478190806506,0,0.25
199,0.312380588712216,0,0.25
200,0.309997566467998,0,0.25
201,0.307632697843108,0,0.25
202,0.305285840774515,0,0.25
203,0.302956854595891,0,0.25
204,0.300645600007643,0,0.25
205,0.29835193904836,1,1.5
206,0.231804543299392,1,1.5
207,0.214040758384762,1,1.5
208,0.205424565733485,1,1.5
209,0.199890886529425,1,1.5
210,0.195784774398279,1,1.5
211,0.192389526584094,1,1.5
212,0.189432572391151,1,1.5
213,0.18674502300917,1,1.5
214,0.184250654801199,1,1.5
215,0.181894023738838,1,1.5
216,0.179645507083637,1,1.5
217,0.177482281615942,1,1.5
218,0.175390068880582,1,1.5
219,0.173357617296163,1,1.5
220,0.171376973476381,1,1.5
221,0.16944176043044,1,1.5
222,0.167547092962572,1,1.5
223,0.165688986068973,1,1.5
224,0.163864236529469,1,1.5
225,0.162070189925577,1,1.5
226,0.160304650834709,1,1.5
227,0.158565774826194,1,1.5
228,0.156852007824453,1,1.5
229,0.155162027897656,1,1.5
230,0.153494705170881,1,1.5
231,0.151849066854126,1,1.5
232,0.150224270586412,1,1.5
233,0.148619582003457,1,1.5
234,0.147034356809687,1,1.5
235,0.145468025858927,1,1.5
236,0.143920082968396,1,1.5
237,0.142390074797627,1,1.5
238,0.140877592496073,1,1.5
239,0.139382264757727,1,1.5
240,0.137903752055423,1,1.5
241,0.136441741838452,1,1.5
242,0.134995944530506,1,1.5
243,0.133566090187548,1,1.5
244,0.132151925704032,1,1.5
245,0.130753212472607,1,1.5
246,0.129369724424773,1,1.5
247,0.128001246381281,1,1.5
248,0.126647572666946,1,1.5
249,0.125308505943214,1,1.5
250,0.123983856220847,1,1.5
251,0.122673440024955,1,1.5
252,0.121377079688494,1,1.5
253,0.120094602749724,1,1.5
254,0.118825841438938,1,1.5
255,0.117570632241751,1,1.5
256,0.116328815522439,1,1.5
257,0.115100235201836,1,1.5
258,0.113884738479507,1,1.5
259,0.112682175592181,1,1.5
260,0.111492399605853,1,1.5
261,0.110315266233421,1,1.5
262,0.109150633675966,1,1.5
