iteration,residual,refreeze_id,eta_current
0,22.3850809010541,0,0.25
1,17.1954340621111,0,0.25
2,13.6869249363169,0,0.25
3,11.2504316209324,0,0.25
4,9.5143713720759,0,0.25
5,8.2520616532751,0,0.25
6,7.32184704774009,0,0.25
7,6.63302974639127,0,0.25
8,6.12679683088483,0,0.25
9,5.76536447559897,0,0.25
10,5.52553337722976,0,0.25
11,5.39451438803424,0,0.25
12,5.36682773740431,0,0.25
13,5.44171511072131,0,0.25
14,5.6210026416787,0,0.25
15,5.90768593210661,0,0.25
16,6.30557421533649,0,0.25
17,6.82015017242255,0,0.25
18,7.46057657228399,0,0.25
19,8.24272497064984,0,0.25
20,9.19327031287973,0,0.25
21,10.355212495849,0,0.25
22,11.7955603761526,0,0.25
23,13.6162330271831,0,0.25
24,15.969085643869,0,0.25
25,19.0736770759362,0,0.25
26,23.2257525744775,0,0.25
27,28.7438550014635,0,0.25
28,35.663995633733,0,0.25
29,42.6255205668217,0,0.25
30,44.3131183706407,0,0.25
31,35.0024094600935,0,0.25
32,34.1644498167814,0,0.25
33,29.0828132565565,0,0.25
34,25.7475082188531,0,0.25
35,22.7461207262199,0,0.25
36,20.2498282107985,0,0.25
37,18.0746539482338,0,0.25
38,16.1989763673377,0,0.25
39,14.5724231205698,0,0.25
40,13.1660800403179,0,0.25
41,11.9510592107813,0,0.25
42,10.9032684790436,0,0.25
43,10.0004915851166,0,0.25
44,9.22266895247489,0,0.25
45,8.55146768657527,0,0.25
46,7.97033541571553,0,0.25
47,7.46450192604006,0,0.25
48,7.02101895418152,0,0.25
49,6.62874507468663,0,0.25
50,6.27828252370211,0,0.25
51,5.96186414196181,0,0.25
52,5.67320686607405,0,0.25
53,5.40734625971863,0,0.25
54,5.16046515773732,0,0.25
55,4.92972484147088,0,0.25
56,4.71310336762576,0,0.25
57,4.50924261399504,0,0.25
58,4.31730379524276,0,0.25
59,4.13683042675627,0,0.25
60,3.96761788768326,0,0.25
61,3.80958970782124,0,0.25
62,3.6626823253299,0,0.25
63,3.52674205216343,0,0.25
64,3.40143987747808,0,0.25
65,3.28621089968613,0,0.25
66,3.18022494969527,0,0.25
67,3.08239294038554,0,0.25
68,2.99140974893718,0,0.25
69,2.9058297084122,0,0.25
70,2.82416616278119,0,0.25
71,2.74500313599905,0,0.25
72,2.66710568284736,0,0.25
73,2.5895160341381,0,0.25
74,2.51162483444043,0,0.25
75,2.43320998643571,0,0.25
76,2.35443928827273,0,0.25
77,2.27583677417514,0,0.25
78,2.1982162097648,0,0.25
79,2.1225884141909,0,0.25
80,2.0500518464192,0,0.25
81,1.98167798846565,0,0.25
82,1.91840413813852,0,0.25
83,1.86094583342761,0,0.25
84,1.80973886175686,0,0.25
85,1.76491658958972,0,0.25
86,1.72632274308783,0,0.25
87,1.69355401613613,0,0.25
88,1.66602251073833,0,0.25
89,1.64302618330217,0,0.25
90,1.62381641647536,0,0.25
91,1.60765483324374,0,0.25
92,1.59385527516809,0,0.25
93,1.58181032146242,0,0.25
94,1.57100414716419,0,0.25
95,1.56101475730753,0,0.25
96,1.551508903402,0,0.25
97,1.54223264177076,0,0.25
98,1.53299986094581,0,0.25
99,1.52368042193979,0,0.25
100,1.51418895238562,0,0.25
101,1.50447486580981,0,0.25
102,1.49451384462691,0,0.25
103,1.48430080998893,0,0.25
104,1.47384427580538,0,0.25
105,1.46316192148748,0,0.25
106,1.45227719635459,0,0.25
107,1.4412167717673,0,0.25
108,1.43000867349098,0,0.25
109,1.41868094911925,0,0.25
110,1.40726074899751,0,0.25
111,1.39577372147725,0,0.25
112,1.3842436432094,0,0.25
113,1.37269222213078,0,0.25
114,1.3611390248055,0,0.25
115,1.34960149112919,0,0.25
116,1.33809500840531,0,0.25
117,1.32663302389286,0,0.25
118,1.31522718040051,0,0.25
119,1.30388746371285,0,0.25
120,1.29262235385661,0,0.25
121,1.28143897462214,0,0.25
122,1.27034323757174,0,0.25
123,1.25933997812022,0,0.25
124,1.2484330822422,0,0.25
125,1.23762560308952,0,0.25
126,1.22691986730797,0,0.25
127,1.21631757119169,0,0.25
128,1.20581986705625,0,0.25
129,1.19542744037082,0,0.25
130,1.18514057827232,0,0.25
131,1.17495923013303,0,0.25
132,1.16488306087375,0,0.25
133,1.15491149769134,0,0.25
134,1.14504377085689,0,0.25
135,1.13527894920059,0,0.25
136,1.12561597085689,0,0.25
137,1.11605366980136,0,0.25
138,1.10659079866731,0,0.25
139,1.09722604828579,0,0.25
140,1.08795806434196,0,0.25
141,1.07878546151209,0,0.25
142,1.06970683540024,0,0.25
143,1.06072077256073,0,0.25
144,1.05182585885465,0,0.25
145,1.04302068637274,0,0.25
146,1.03430385911294,0,0.25
147,1.02567399759334,0,0.25
148,1.01712974254854,0,0.25
