p,N,n,h,amp,alpha,method,eta_x,tau_v,J,max_iter_budget,status,iter,initial_grad_norm,final_grad_norm,relative_final_grad_norm,lambda1,lambda2,index,init_lambda,setup_time,iter_time,time_total,factor_time,init_eig_time,index_verify_time,u_min,u_max,u_l2,note
3,64,4096,0.0483321946706122,1.2,1.0,pHiSD_H1,0.5,0.0001,5,5000,success,45,2.361145673256365,7.543971379204627e-07,3.19504699123472e-07,-4.947425875102218,1.3085646794588384,1,-0.1887100482213337,0.013251374999526888,0.0492838749778457,0.06253524997737259,0.004558666987577453,0.008601208013715222,0.018750666989944875,0.0025517761940463744,2.1060059920381073,54.877442141414186,
3,128,16384,0.02435343142317669,1.2,1.0,pHiSD_H1,0.5,0.0001,5,5000,success,45,2.3616656347536154,7.410197523825914e-07,3.137699687364505e-07,-4.946130960880698,1.3105611900932417,1,-0.18853864522982,0.06636566697852686,0.20535433301120065,0.2717199999897275,0.02451808299520053,0.04157924998435192,0.10891520901350304,0.0006484396451782342,2.10767827084676,108.93991389623302,
3,192,36864,0.016277682142952297,1.2,1.0,pHiSD_H1,0.5,0.0001,5,5000,success,45,2.3617635326997273,7.385358249704275e-07,3.1270523688974424e-07,-4.945888233515566,1.3109369145361611,1,-0.18850638847355267,0.18040425001527183,0.4985771659994498,0.6789814160147216,0.07128991698846221,0.10846812502131797,0.5415663330059033,0.00028973825819852473,2.10799289236044,162.99586454965373,
3,256,65536,0.012224095928364953,1.2,1.0,pHiSD_H1,0.5,0.0001,5,5000,success,45,2.361798003482241,7.376638057431847e-07,3.1233145453403355e-07,-4.945802847891059,1.3110691973591226,1,-0.18849503168837145,0.34118079097243026,0.9896885420021135,1.3308693329745438,0.12761274998774752,0.212458209018223,1.4175683750072494,0.00016341028440398575,2.1081036559844275,217.05016969969412,
5,64,4096,0.0483321946706122,1.2,1.0,pHiSD_H1,0.5,0.0001,5,5000,success,52,2.529423566618535,9.774813503063651e-07,3.86444312137533e-07,-18.087963212368727,0.7489981049694925,1,-0.8782259357992869,0.014263459015637636,0.057495999993989244,0.07175945900962688,0.004574541002511978,0.009594542003469542,0.017142665979918092,0.0015473336757219323,1.786516687397151,37.85151794399592,
5,128,16384,0.02435343142317669,1.2,1.0,pHiSD_H1,0.5,0.0001,5,5000,success,52,2.529908942907664,9.120711574681225e-07,3.605154090723379e-07,-18.028159008836273,0.7516839307125313,1,-0.8777962663383055,0.06788937500095926,0.2460947079816833,0.3139840829826426,0.025086333975195885,0.04252920797443949,0.11119900000630878,0.00039353709302671796,1.788900577585588,75.18479106499325,
5,192,36864,0.016277682142952297,1.2,1.0,pHiSD_H1,0.5,0.0001,5,5000,success,52,2.5300003307150507,9.004578800009163e-07,3.559121590100429e-07,-18.017057671021135,0.752187085469536,1,-0.8777154325726192,0.16735633398639038,0.5899313749978319,0.7572877089842223,0.061766124999849126,0.10496679198695347,0.4773422500002198,0.00017587004670218325,1.7893472212097608,112.50370393141684,
5,256,65536,0.012224095928364953,1.2,1.0,pHiSD_H1,0.5,0.0001,5,5000,success,52,2.530032509332773,8.964189716525158e-07,3.543112463360883e-07,-18.013160511292597,0.7523640632183627,1,-0.8776869750741394,0.33080033399164677,1.140144583012443,1.4709449170040898,0.12357379199238494,0.205812458996661,1.0550969169999007,9.919504812226178e-05,1.7895043263628434,149.8190271099446,
